Title,Difficulty,Accuracy,Content,URL
Indexes of Subarray Sum,MediumAccuracy:,16.5%Submissions:,"Given an unsorted array arr containing only non-negative integers, your task is to find a continuous subarray (a contiguous sequence of elements) whose sum equals a specified value target. You need to return the 1-based indices of the leftmost and rightmost elements of this subarray. Examples: Input: arr[] = [1,2,3,7,5], target = 12
Output: [2, 4]
Explanation: The sum of elements from 2nd to 4th position is 12. Input: arr[] = [1,2,3,4,5,6,7,8,9,10], target = 15,
Output: [1, 5]
Explanation: The sum of elements from 1st to 5th position is 15. Input: arr[] = [7,2,1], target = 2
Output: [2, 2]
Explanation: The sum of elements from 2nd to 2nd position is 2. Input: arr[] = [5,3,4], target = 2
Output: [-1]
Explanation: There is no subarray with sum 2. Constraints:
1 <= arr.size()<= 106
0 <= arr[i] <= 103",https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1?page=1&sortBy=submissions
Missing in Array,EasyAccuracy:,29.59%Submissions:,"You are given an array arr of size n - 1 that contains distinct integers in the range from 1 to n (inclusive). This array represents a permutation of the integers from 1 to n with one element missing. Your task is to identify and return the missing element. Examples: Input: arr[] = [1, 2, 3, 5]
Output: 4
Explanation: All the numbers from 1 to 5 are present except 4. Input: arr[] = [8, 2, 4, 5, 3, 7, 1]
Output: 6
Explanation: All the numbers from 1 to 8 are present except 6. Input: arr[] = [1]
Output: 2
Explanation: Only 1 is present so the missing element is 2. Constraints:
1 ≤ arr.size() ≤ 106
1 ≤ arr[i] ≤ arr.size() + 1",https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1?page=1&sortBy=submissions
Kadane's Algorithm,MediumAccuracy:,36.28%Submissions:,"Given an integer array arr[]. You need to find and return the maximum sum possible from all the subarrays. Examples: Input: Output: 11
Explanation: The subarray {7, -1, 2, 3} has the largest sum 11. Input: Output: -2
Explanation: The subarray {-2} has the largest sum -2. Input: Output: 25
Explanation: The subarray {5, 4, 1, 7, 8} has the largest sum 25. Constraints:
1 ≤ arr.size() ≤ 105",https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1?page=1&sortBy=submissions
Minimum Jumps,MediumAccuracy:,11.91%Submissions:,"Given an array arr[] of non-negative integers. Each array element represents the maximum length of the jumps that can be made forward from that element. This means if arr[i] = x, then we can jump any distance y such that y ≤ x. Find the minimum number of jumps to reach the end of the array starting from the first element. If an element is 0, then you cannot move through that element. Note:  Return -1 if you can't reach the end of the array. Examples :  Input: Output: 3 Explanation: Output: 2 
Explanation: First we jump from the 1st to 2nd element and then jump to the last element. Output: -1
Explanation: We cannot go anywhere from the 1st element. Constraints:",https://www.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1?page=1&sortBy=submissions
Second Largest,EasyAccuracy:,26.72%Submissions:,"Given an array of positive integers arr[], return the second largest element from the array. If the second largest element doesn't exist then return -1. Examples: Input: arr[] = [12, 35, 1, 10, 34, 1]
Output: 34
Explanation: The largest element of the array is 35 and the second largest element is 34. Input: arr[] = [10, 5, 10]
Output: 5
Explanation: The largest element of the array is 10 and the second largest element is 5. Input: arr[] = [10, 10, 10]
Output: -1
Explanation: The largest element of the array is 10 and the second largest element does not exist. Constraints:
2 ≤ arr.size() ≤ 105
1 ≤ arr[i] ≤ 105",https://www.geeksforgeeks.org/problems/second-largest3735/1?page=1&sortBy=submissions
Array Duplicates,EasyAccuracy:,18.95%Submissions:,"Given an array arr of integers, find all the elements that occur more than once in the array. Return the result in ascending order. If no element repeats, return an empty array. Examples: Input: arr[] = [2, 3, 1, 2, 3]
Output: [2, 3] 
Explanation: 2 and 3 occur more than once in the given array. Input: arr[] = [0, 3, 1, 2]
Output: []
Explanation: There is no repeating element in the array, so the output is empty. Input: arr[] = [2]
Output: [] 
Explanation: There is single element in the array. Therefore output is empty. Constraints:
1 <= arr.size() <= 106",https://www.geeksforgeeks.org/problems/find-duplicates-in-an-array/1?page=1&sortBy=submissions
Array Leaders,EasyAccuracy:,29.94%Submissions:,"You are given an array arr of positive integers. Your task is to find all the leaders in the array. An element is considered a leader if it is greater than or equal to all elements to its right. The rightmost element is always a leader. Examples: Input: arr = [16, 17, 4, 3, 5, 2]
Output: [17, 5, 2]
Explanation: Note that there is nothing greater on the right side of 17, 5 and, 2. Input: arr = [10, 4, 2, 4, 1]
Output: [10, 4, 4, 1]
Explanation: Note that both of the 4s are in output, as to be a leader an equal element is also allowed on the right. side Input: arr = [5, 10, 20, 40]
Output: [40]
Explanation: When an array is sorted in increasing order, only the rightmost element is leader. Input: arr = [30, 10, 10, 5]
Output: [30, 10, 10, 5]
Explanation: When an array is sorted in non-increasing order, all elements are leaders. Constraints:
1 <= arr.size() <= 106
0 <= arr[i] <= 106",https://www.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1?page=1&sortBy=submissions
"Sort 0s, 1s and 2s",EasyAccuracy:,50.58%Submissions:,"Given an array arr[] containing only 0s, 1s, and 2s. Sort the array in ascending order. Examples: Input: arr[] = [0, 1, 2, 0, 1, 2]
Output: [0, 0, 1, 1, 2, 2]
Explanation: 0s 1s and 2s are segregated into ascending order. Input: arr[] = [0, 1, 1, 0, 1, 2, 1, 2, 0, 0, 0, 1]
Output: [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2]
Explanation: 0s 1s and 2s are segregated into ascending order. Constraints:
1 <= arr.size() <= 106
0 <= arr[i] <= 2",https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1?page=1&sortBy=submissions
Majority Element,MediumAccuracy:,27.82%Submissions:,"Given an array arr. Find the majority element in the array. If no majority exists, return -1. A majority element in an array is an element that appears strictly more than arr.size()/2 times in the array. Examples: Input: arr[] = [3, 1, 3, 3, 2]
Output: 3
Explanation: Since, 3 is present more than n/2 times, so it is the majority element. Input: arr[] = [7]
Output: 7
Explanation: Since, 7 is single element and present more than n/2 times, so it is the majority element. Input: arr[] = [2, 13]
Output: -1
Explanation: Since, no element is present more than n/2 times, so there is no majority element. Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1) Constraints:
1 ≤ arr.size() ≤ 105
0 ≤ arr[i]≤ 105",https://www.geeksforgeeks.org/problems/majority-element-1587115620/1?page=1&sortBy=submissions
Kth Smallest,MediumAccuracy:,35.17%Submissions:,"Given an array arr[] and an integer k where k is smaller than the size of the array, the task is to find the kth smallest element in the given array. Follow up: Don't solve it using the inbuilt sort function. Examples : Input: arr[] = [7, 10, 4, 3, 20, 15], k = 3
Output: 7
Explanation: 3rd smallest element in the given array is 7. Input: arr[] = [2, 3, 1, 20, 15], k = 4 
Output: 15
Explanation: 4th smallest element in the given array is 15. Expected Time Complexity: O(n+(max_element) ) Expected Auxiliary Space: O(max_element) Constraints:
1 <= arr.size <= 106
1<= arr[i] <= 106
1 <= k <= n",https://www.geeksforgeeks.org/problems/kth-smallest-element5635/1?page=1&sortBy=submissions
Minimize the Heights II,MediumAccuracy:,15.06%Submissions:,"Given an array arr[] denoting heights of N towers and a positive integer K. For each tower, you must perform exactly one of the following operations exactly once. Increase the height of the tower by K Decrease the height of the tower by K Find out the minimum possible difference between the height of the shortest and tallest towers after you have modified each tower. You can find a slight modification of the problem here.
Note: It is compulsory to increase or decrease the height by K for each tower. After the operation, the resultant array should not contain any negative integers. Examples : Input: k = 2, arr[] = {1, 5, 8, 10}
Output: 5
Explanation: The array can be modified as {1+k, 5-k, 8-k, 10-k} = {3, 3, 6, 8}.The difference between the largest and the smallest is 8-3 = 5. Input: k = 3, arr[] = {3, 9, 12, 16, 20}
Output: 11
Explanation: The array can be modified as Expected Time Complexity: O(n*logn)
Expected Auxiliary Space: O(n) Constraints
1 ≤ k ≤ 107
1 ≤ n ≤ 105
1 ≤ arr[i] ≤ 107",https://www.geeksforgeeks.org/problems/minimize-the-heights3351/1?page=1&sortBy=submissions
