Title,Difficulty,Accuracy,Content,URL
Indexes of Subarray Sum,Medium,16.5,"Given an unsorted array arr containing only non-negative integers, your task is to find a continuous subarray (a contiguous sequence of elements) whose sum equals a specified value target. You need to return the 1-based indices of the leftmost and rightmost elements of this subarray. <br/> Examples <br/>: Input: arr[] = [1,2,3,7,5], target = 12
<br/> Output: [2, 4]
<br/> Explanation: The sum of elements from 2nd to 4th position is 12. Input: arr[] = [1,2,3,4,5,6,7,8,9,10], target = 15,
<br/> Output: [1, 5]
<br/> Explanation: The sum of elements from 1st to 5th position is 15. Input: arr[] = [7,2,1], target = 2
<br/> Output: [2, 2]
<br/> Explanation: The sum of elements from 2nd to 2nd position is 2. Input: arr[] = [5,3,4], target = 2
<br/> Output: [-1]
<br/> Explanation: There is no subarray with sum 2. <br/> Constraints:
1 <= arr.size()<= 106
0 <= arr[i] <= 103",https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1?page=1&sortBy=submissions
Missing in Array,Easy,29.59,"You are given an array arr of size n - 1 that contains distinct integers in the range from 1 to n (inclusive). This array represents a permutation of the integers from 1 to n with one element missing. Your task is to identify and return the missing element. <br/> Examples <br/>: Input: arr[] = [1, 2, 3, 5]
<br/> Output: 4
<br/> Explanation: All the numbers from 1 to 5 are present except 4. Input: arr[] = [8, 2, 4, 5, 3, 7, 1]
<br/> Output: 6
<br/> Explanation: All the numbers from 1 to 8 are present except 6. Input: arr[] = [1]
<br/> Output: 2
<br/> Explanation: Only 1 is present so the missing element is 2. <br/> Constraints:
1 ≤ arr.size() ≤ 106
1 ≤ arr[i] ≤ arr.size() + 1",https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1?page=1&sortBy=submissions
Kadane's Algorithm,Medium,36.28,"Given an integer array arr[]. You need to find and return the maximum sum possible from all the subarrays. <br/> Examples <br/>: Input: <br/> Output: 11
<br/> Explanation: The subarray {7, -1, 2, 3} has the largest sum 11. Input: <br/> Output: -2
<br/> Explanation: The subarray {-2} has the largest sum -2. Input: <br/> Output: 25
<br/> Explanation: The subarray {5, 4, 1, 7, 8} has the largest sum 25. <br/> Constraints:
1 ≤ arr.size() ≤ 105",https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1?page=1&sortBy=submissions
Minimum Jumps,Medium,11.91,"Given an array arr[] of non-negative integers. Each array element represents the maximum length of the jumps that can be made forward from that element. This means if arr[i] = x, then we can jump any distance y such that y ≤ x. Find the minimum number of jumps to reach the end of the array starting from the first element. If an element is 0, then you cannot move through that element. Note:  Return -1 if you can't reach the end of the array. Examples :  Input: <br/> Output: 3 <br/> Explanation: <br/> Output: 2 
<br/> Explanation: First we jump from the 1st to 2nd element and then jump to the last element. <br/> Output: -1
<br/> Explanation: We cannot go anywhere from the 1st element. <br/> Constraints:",https://www.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1?page=1&sortBy=submissions
Second Largest,Easy,26.72,"Given an array of positive integers arr[], return the second largest element from the array. If the second largest element doesn't exist then return -1. <br/> Examples <br/>: Input: arr[] = [12, 35, 1, 10, 34, 1]
<br/> Output: 34
<br/> Explanation: The largest element of the array is 35 and the second largest element is 34. Input: arr[] = [10, 5, 10]
<br/> Output: 5
<br/> Explanation: The largest element of the array is 10 and the second largest element is 5. Input: arr[] = [10, 10, 10]
<br/> Output: -1
<br/> Explanation: The largest element of the array is 10 and the second largest element does not exist. <br/> Constraints:
2 ≤ arr.size() ≤ 105
1 ≤ arr[i] ≤ 105",https://www.geeksforgeeks.org/problems/second-largest3735/1?page=1&sortBy=submissions
Array Duplicates,Easy,18.95,"Given an array arr of integers, find all the elements that occur more than once in the array. Return the result in ascending order. If no element repeats, return an empty array. <br/> Examples <br/>: Input: arr[] = [2, 3, 1, 2, 3]
<br/> Output: [2, 3] 
<br/> Explanation: 2 and 3 occur more than once in the given array. Input: arr[] = [0, 3, 1, 2]
<br/> Output: []
<br/> Explanation: There is no repeating element in the array, so the output is empty. Input: arr[] = [2]
<br/> Output: [] 
<br/> Explanation: There is single element in the array. Therefore output is empty. <br/> Constraints:
1 <= arr.size() <= 106",https://www.geeksforgeeks.org/problems/find-duplicates-in-an-array/1?page=1&sortBy=submissions
Array Leaders,Easy,29.94,"You are given an array arr of positive integers. Your task is to find all the leaders in the array. An element is considered a leader if it is greater than or equal to all elements to its right. The rightmost element is always a leader. <br/> Examples <br/>: Input: arr = [16, 17, 4, 3, 5, 2]
<br/> Output: [17, 5, 2]
<br/> Explanation: Note that there is nothing greater on the right side of 17, 5 and, 2. Input: arr = [10, 4, 2, 4, 1]
<br/> Output: [10, 4, 4, 1]
<br/> Explanation: Note that both of the 4s are in output, as to be a leader an equal element is also allowed on the right. side Input: arr = [5, 10, 20, 40]
<br/> Output: [40]
<br/> Explanation: When an array is sorted in increasing order, only the rightmost element is leader. Input: arr = [30, 10, 10, 5]
<br/> Output: [30, 10, 10, 5]
<br/> Explanation: When an array is sorted in non-increasing order, all elements are leaders. <br/> Constraints:
1 <= arr.size() <= 106
0 <= arr[i] <= 106",https://www.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1?page=1&sortBy=submissions
"Sort 0s, 1s and 2s",Easy,50.58,"Given an array arr[] containing only 0s, 1s, and 2s. Sort the array in ascending order. <br/> Examples <br/>: Input: arr[] = [0, 1, 2, 0, 1, 2]
<br/> Output: [0, 0, 1, 1, 2, 2]
<br/> Explanation: 0s 1s and 2s are segregated into ascending order. Input: arr[] = [0, 1, 1, 0, 1, 2, 1, 2, 0, 0, 0, 1]
<br/> Output: [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2]
<br/> Explanation: 0s 1s and 2s are segregated into ascending order. <br/> Constraints:
1 <= arr.size() <= 106
0 <= arr[i] <= 2",https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1?page=1&sortBy=submissions
Majority Element,Medium,27.82,"Given an array arr. Find the majority element in the array. If no majority exists, return -1. A majority element in an array is an element that appears strictly more than arr.size()/2 times in the array. <br/> Examples <br/>: Input: arr[] = [3, 1, 3, 3, 2]
<br/> Output: 3
<br/> Explanation: Since, 3 is present more than n/2 times, so it is the majority element. Input: arr[] = [7]
<br/> Output: 7
<br/> Explanation: Since, 7 is single element and present more than n/2 times, so it is the majority element. Input: arr[] = [2, 13]
<br/> Output: -1
<br/> Explanation: Since, no element is present more than n/2 times, so there is no majority element. Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1) <br/> Constraints:
1 ≤ arr.size() ≤ 105
0 ≤ arr[i]≤ 105",https://www.geeksforgeeks.org/problems/majority-element-1587115620/1?page=1&sortBy=submissions
Kth Smallest,Medium,35.17,"Given an array arr[] and an integer k where k is smaller than the size of the array, the task is to find the kth smallest element in the given array. Follow up: Don't solve it using the inbuilt sort function. Examples : Input: arr[] = [7, 10, 4, 3, 20, 15], k = 3
<br/> Output: 7
<br/> Explanation: 3rd smallest element in the given array is 7. Input: arr[] = [2, 3, 1, 20, 15], k = 4 
<br/> Output: 15
<br/> Explanation: 4th smallest element in the given array is 15. Expected Time Complexity: O(n+(max_element) ) Expected Auxiliary Space: O(max_element) <br/> Constraints:
1 <= arr.size <= 106
1<= arr[i] <= 106
1 <= k <= n",https://www.geeksforgeeks.org/problems/kth-smallest-element5635/1?page=1&sortBy=submissions
